srun: job 990695 queued and waiting for resources
srun: job 990695 has been allocated resources
srun: error: ioctl(TIOCGWINSZ): Inappropriate ioctl for device
srun: error: Not using a pseudo-terminal, disregarding --pty option
    1024 ,      1 ,       0.66
    1024 ,      4 ,       0.66
    1024 ,     16 ,       0.66
    1024 ,     64 ,       0.67
    1024 ,    256 ,       0.57
    4096 ,      1 ,       4.75
    4096 ,      4 ,       5.24
    4096 ,     16 ,       5.28
    4096 ,     64 ,       5.32
    4096 ,    256 ,       5.34
   16384 ,      1 ,      27.46
   16384 ,      4 ,      38.82
   16384 ,     16 ,      41.04
   16384 ,     64 ,      41.92
   16384 ,    256 ,      42.05
   65536 ,      1 ,     106.89
   65536 ,      4 ,     222.85
   65536 ,     16 ,     274.43
   65536 ,     64 ,     329.85
   65536 ,    256 ,     335.28
  262144 ,      1 ,     278.21
  262144 ,      4 ,     857.50
  262144 ,     16 ,    1748.44
  262144 ,     64 ,    2470.18
  262144 ,    256 ,    2585.49
 1048576 ,      1 ,     549.39
 1048576 ,      4 ,    1653.32
 1048576 ,     16 ,    3344.48
 1048576 ,     64 ,    4454.62
 1048576 ,    256 ,    4645.54
